User: unknown
Title :  
Absorbance		
Wavelength	OE1_CHANNEL1	
623.000000	1.303144
624.000000	1.293720
625.000000	1.284436
626.000000	1.275280
627.000000	1.266259
628.000000	1.257391
629.000000	1.248678
630.000000	1.240121
631.000000	1.231703
632.000000	1.223455
633.000000	1.215350
634.000000	1.207419
635.000000	1.199496
636.000000	1.191599
637.000000	1.183671
638.000000	1.175814
639.000000	1.168006
640.000000	1.160246
641.000000	1.152550
642.000000	1.144835
643.000000	1.137120
644.000000	1.129399
645.000000	1.121676
646.000000	1.113952
647.000000	1.106216
648.000000	1.098516
649.000000	1.090849
650.000000	1.083219
651.000000	1.075633
652.000000	1.068088
653.000000	1.060595
654.000000	1.053180
655.000000	1.045810
656.000000	1.038507
657.000000	1.031238
658.000000	1.024126
659.000000	1.017151
660.000000	1.010313
661.000000	1.003646
662.000000	0.996992
663.000000	0.990403
664.000000	0.983812
665.000000	0.977443
666.000000	0.971227
667.000000	0.965258
668.000000	0.959243
669.000000	0.953228
670.000000	0.947118
671.000000	0.941143
672.000000	0.935292
673.000000	0.929573
674.000000	0.924058
675.000000	0.918496
676.000000	0.912957
677.000000	0.907375
678.000000	0.901953
679.000000	0.896654
680.000000	0.891519
681.000000	0.886447
682.000000	0.881441
683.000000	0.876493
684.000000	0.871593
685.000000	0.866754
686.000000	0.861968
687.000000	0.857226
688.000000	0.852552
689.000000	0.847940
690.000000	0.843381
691.000000	0.838890
692.000000	0.834470
693.000000	0.830119
694.000000	0.825862
695.000000	0.821615
696.000000	0.817401
697.000000	0.813190
698.000000	0.809060
699.000000	0.804995
700.000000	0.801011
701.000000	0.797065
702.000000	0.793164
703.000000	0.789309
704.000000	0.785495
705.000000	0.781744
706.000000	0.778047
707.000000	0.774416
708.000000	0.770798
709.000000	0.767208
710.000000	0.763624
711.000000	0.760121
712.000000	0.756693
713.000000	0.753355
714.000000	0.750081
715.000000	0.746867
716.000000	0.743710
717.000000	0.740609
718.000000	0.737544
719.000000	0.734519
720.000000	0.731518
721.000000	0.728586
722.000000	0.725716
723.000000	0.722919
724.000000	0.720167
725.000000	0.717460
726.000000	0.714794
727.000000	0.712168
728.000000	0.709572
729.000000	0.707009
730.000000	0.704463
731.000000	0.701984
732.000000	0.699558
733.000000	0.697199
734.000000	0.694858
735.000000	0.692533
736.000000	0.690214
737.000000	0.687884
738.000000	0.685570
739.000000	0.683249
740.000000	0.680925
741.000000	0.678537
742.000000	0.676085
743.000000	0.673527
744.000000	0.670923
745.000000	0.668245
746.000000	0.665503
747.000000	0.662609
748.000000	0.659542
749.000000	0.656276
750.000000	0.652777
751.000000	0.649061
752.000000	0.645101
753.000000	0.640907
754.000000	0.636393
755.000000	0.631565
756.000000	0.626412
757.000000	0.620959
758.000000	0.615215
759.000000	0.609199
760.000000	0.602930
761.000000	0.596445
762.000000	0.589769
763.000000	0.582938
764.000000	0.575974
765.000000	0.568921
766.000000	0.561796
767.000000	0.554701
768.000000	0.547667
769.000000	0.540725
770.000000	0.533924
771.000000	0.527290
772.000000	0.520841
773.000000	0.514605
774.000000	0.508553
775.000000	0.502709
776.000000	0.497068
777.000000	0.491681
778.000000	0.486546
779.000000	0.481677
780.000000	0.477048
781.000000	0.472654
782.000000	0.468483
783.000000	0.464522
784.000000	0.460757
785.000000	0.457176
786.000000	0.453780
787.000000	0.450520
788.000000	0.447394
789.000000	0.444380
790.000000	0.441505
791.000000	0.438757
792.000000	0.436133
793.000000	0.433610
794.000000	0.431179
795.000000	0.428832
796.000000	0.426565
797.000000	0.424358
798.000000	0.422213
799.000000	0.420105
800.000000	0.418091
801.000000	0.416155
802.000000	0.414326
803.000000	0.412512
804.000000	0.410713
805.000000	0.408924
806.000000	0.407112
807.000000	0.405380
808.000000	0.403697
809.000000	0.402086
810.000000	0.400477
811.000000	0.398881
812.000000	0.397281
813.000000	0.395713
814.000000	0.394171
815.000000	0.392659
816.000000	0.391176
817.000000	0.389719
818.000000	0.388286
819.000000	0.386881
820.000000	0.385473
821.000000	0.384065
822.000000	0.382652
823.000000	0.381244
824.000000	0.379842
825.000000	0.378438
826.000000	0.377071
827.000000	0.375737
828.000000	0.374453
829.000000	0.373171
830.000000	0.371888
831.000000	0.370601
832.000000	0.369297
833.000000	0.368007
834.000000	0.366723
835.000000	0.365446
836.000000	0.364174
837.000000	0.362908
838.000000	0.361650
839.000000	0.360391
840.000000	0.359134
841.000000	0.357879
842.000000	0.356624
843.000000	0.355383
844.000000	0.354151
845.000000	0.352936
846.000000	0.351712
847.000000	0.350485
848.000000	0.349245
849.000000	0.348029
850.000000	0.346833
851.000000	0.345669
852.000000	0.344508
853.000000	0.343351
854.000000	0.342194
855.000000	0.341037
856.000000	0.339874
857.000000	0.338709
858.000000	0.337525
859.000000	0.336376
860.000000	0.335251
861.000000	0.334174
862.000000	0.333079
863.000000	0.331975
864.000000	0.330837
865.000000	0.329716
866.000000	0.328612
867.000000	0.327526
868.000000	0.326470
869.000000	0.325407
870.000000	0.324345
871.000000	0.323285
872.000000	0.322216
873.000000	0.321141
874.000000	0.320046
875.000000	0.318973
876.000000	0.317918
877.000000	0.316899
878.000000	0.315878
879.000000	0.314857
880.000000	0.313833
881.000000	0.312796
882.000000	0.311774
883.000000	0.310761
884.000000	0.309764
885.000000	0.308766
886.000000	0.307770
887.000000	0.306769
888.000000	0.305783
889.000000	0.304810
890.000000	0.303863
891.000000	0.302912
892.000000	0.301958
893.000000	0.301000
894.000000	0.300023
895.000000	0.299076
896.000000	0.298143
897.000000	0.297245
898.000000	0.296318
899.000000	0.295373
900.000000	0.294389
901.000000	0.293424
902.000000	0.292470
903.000000	0.291550
904.000000	0.290615
905.000000	0.289672
906.000000	0.288724
907.000000	0.287748
908.000000	0.286837
909.000000	0.285965
910.000000	0.285162
911.000000	0.284325
912.000000	0.283474
913.000000	0.282585
914.000000	0.281713
915.000000	0.280848
916.000000	0.280005
917.000000	0.279153
918.000000	0.278295
919.000000	0.277416
920.000000	0.276553
921.000000	0.275709
922.000000	0.274884
923.000000	0.274108
924.000000	0.273286
925.000000	0.272444
926.000000	0.271540
927.000000	0.270710
928.000000	0.269930
929.000000	0.269251
930.000000	0.268544
931.000000	0.267820
932.000000	0.267038
933.000000	0.266269
934.000000	0.265511
935.000000	0.264766
936.000000	0.264056
937.000000	0.263306
938.000000	0.262538
939.000000	0.261722
940.000000	0.260960
941.000000	0.260233
942.000000	0.259573
943.000000	0.258892
944.000000	0.258199
945.000000	0.257484
946.000000	0.256750
947.000000	0.255998
948.000000	0.255207
949.000000	0.254444
950.000000	0.253713
951.000000	0.253019
952.000000	0.252386
953.000000	0.251724
954.000000	0.251048
955.000000	0.250364
956.000000	0.249638
957.000000	0.248884
958.000000	0.248028
959.000000	0.247301
960.000000	0.246675
961.000000	0.246277
962.000000	0.245788
963.000000	0.245211
964.000000	0.244524
965.000000	0.243646
966.000000	0.242871
967.000000	0.242132
968.000000	0.241465
969.000000	0.240820
970.000000	0.240211
971.000000	0.239662
972.000000	0.239084
973.000000	0.238489
974.000000	0.237841
975.000000	0.237223
976.000000	0.236627
977.000000	0.236072
978.000000	0.235521
979.000000	0.234970
980.000000	0.234414
981.000000	0.233854
982.000000	0.233260
983.000000	0.232640
984.000000	0.231971
985.000000	0.231342
986.000000	0.230739
987.000000	0.230196
988.000000	0.229625
989.000000	0.229044
990.000000	0.228410
991.000000	0.227839
992.000000	0.227317
993.000000	0.226922
994.000000	0.226456
995.000000	0.225925
996.000000	0.225324
997.000000	0.224570
998.000000	0.223998
999.000000	0.223524
1000.000000	0.223236
1001.000000	0.222856
1002.000000	0.222436
1003.000000	0.221945
1004.000000	0.221421
1005.000000	0.220863
1006.000000	0.220203
1007.000000	0.219674
1008.000000	0.219253
1009.000000	0.219088
1010.000000	0.218810
1011.000000	0.218431
1012.000000	0.217787
1013.000000	0.217200
1014.000000	0.216687
1015.000000	0.216278
1016.000000	0.216064
1017.000000	0.215770
1018.000000	0.215451
1019.000000	0.215089
1020.000000	0.214682
1021.000000	0.214232
1022.000000	0.213669
1023.000000	0.213238
1024.000000	0.212908
1025.000000	0.212800
1026.000000	0.212609
1027.000000	0.212354
1028.000000	0.211948
1029.000000	0.211545
1030.000000	0.211146
1031.000000	0.210726
1032.000000	0.210414
1033.000000	0.210224
1034.000000	0.210151
1035.000000	0.210355
1036.000000	0.210217
1037.000000	0.209875
1038.000000	0.209040
1039.000000	0.208614
1040.000000	0.208442
1041.000000	0.208887
1042.000000	0.209007
1043.000000	0.208935
1044.000000	0.208285
1045.000000	0.207981
1046.000000	0.207950
1047.000000	0.208564
1048.000000	0.209027
1049.000000	0.209333
1050.000000	0.209206
1051.000000	0.209062
1052.000000	0.208928
1053.000000	0.208861
1054.000000	0.208910
1055.000000	0.209042
1056.000000	0.209265
1057.000000	0.209692
1058.000000	0.209878
1059.000000	0.209899
1060.000000	0.209568
1061.000000	0.209441
1062.000000	0.209461
1063.000000	0.209742
1064.000000	0.210120
1065.000000	0.210609
1066.000000	0.211232
1067.000000	0.211791
1068.000000	0.212254
1069.000000	0.212667
1070.000000	0.212801
1071.000000	0.212677
1072.000000	0.212354
1073.000000	0.211498
1074.000000	0.211716
1075.000000	0.212592
1076.000000	0.214827
1077.000000	0.215849
1078.000000	0.216187
1079.000000	0.214977
1080.000000	0.214764
1081.000000	0.215075
1082.000000	0.216738
1083.000000	0.217560
1084.000000	0.217884
1085.000000	0.216933
1086.000000	0.216674
1087.000000	0.216900
1088.000000	0.218444
1089.000000	0.219419
1090.000000	0.219963
1091.000000	0.219152
1092.000000	0.219115
1093.000000	0.219885
1094.000000	0.222375
1095.000000	0.224828
1096.000000	0.227025
1097.000000	0.228709
1098.000000	0.229519
1099.000000	0.230222
1100.000000	0.230689
1101.000000	0.230645
1102.000000	0.231484
1103.000000	0.232950
1104.000000	0.235833
1105.000000	0.237660
1106.000000	0.238854
1107.000000	0.238397
1108.000000	0.239124
1109.000000	0.240639
1110.000000	0.244147
1111.000000	0.246582
1112.000000	0.248271
1113.000000	0.247996
1114.000000	0.248764
1115.000000	0.250496
1116.000000	0.253976
1117.000000	0.257941
1118.000000	0.262334
1119.000000	0.267572
1120.000000	0.271893
1121.000000	0.275132
1122.000000	0.277288
1123.000000	0.277377
1124.000000	0.280225
1125.000000	0.284948
1126.000000	0.292678
1127.000000	0.300449
1128.000000	0.308908
1129.000000	0.317788
1130.000000	0.327408
1131.000000	0.337804
1132.000000	0.349068
1133.000000	0.361560
1134.000000	0.375225
1135.000000	0.390034
